	SPX Index			
2018/2/22	2697.77	2731.26	2710.42	2703.96
2018/2/23	2713.74	2747.76	2715.8	2747.3
2018/2/26	2753.78	2780.64	2757.37	2779.6
2018/2/27	2744.22	2789.15	2780.45	2744.28
2018/2/28	2713.54	2761.52	2753.78	2713.83
2018/3/1	2659.65	2730.89	2715.22	2677.67
2018/3/2	2647.32	2696.25	2658.89	2691.25
2018/3/5	2675.75	2728.09	2681.06	2720.94
2018/3/6	2711.26	2732.08	2730.18	2728.12
2018/3/7	2701.74	2730.6	2710.18	2726.8
2018/3/8	2722.65	2740.45	2732.75	2738.97
2018/3/9	2751.54	2786.57	2752.91	2786.57
2018/3/12	2779.26	2796.98	2790.54	2783.02
2018/3/13	2758.68	2801.9	2792.31	2765.31
2018/3/14	2744.38	2777.11	2774.06	2749.48
2018/3/15	2741.47	2763.03	2754.27	2747.33
2018/3/16	2749.97	2761.85	2750.57	2752.01
2018/3/19	2694.59	2741.38	2741.38	2712.92
2018/3/20	2710.05	2724.22	2715.05	2716.94
2018/3/21	2709.79	2739.14	2714.99	2711.93
2018/3/22	2641.59	2695.68	2691.36	2643.69
2018/3/23	2585.89	2657.67	2646.71	2588.26
2018/3/26	2601.81	2661.36	2619.35	2658.55
2018/3/27	2596.12	2674.78	2667.57	2612.62
2018/3/28	2593.06	2632.65	2611.3	2605
2018/3/29	2609.72	2659.07	2614.41	2640.87
2018/4/2	2553.8	2638.3	2633.45	2581.88
2018/4/3	2575.49	2619.14	2592.17	2614.45
2018/4/4	2573.61	2649.86	2584.04	2644.69
2018/4/5	2649.58	2672.08	2657.36	2662.84
2018/4/6	2586.27	2656.88	2645.82	2604.47
2018/4/9	2610.79	2653.55	2617.18	2613.16
2018/4/10	2635.78	2665.45	2638.41	2656.87
2018/4/11	2639.25	2661.43	2643.89	2642.19
2018/4/12	2653.83	2674.72	2653.83	2663.99
2018/4/13	2645.05	2680.26	2676.9	2656.3
2018/4/16	2665.16	2686.49	2670.1	2677.84
2018/4/17	2692.05	2713.34	2692.74	2706.39
2018/4/18	2703.63	2717.49	2710.11	2708.64
2018/4/19	2681.9	2702.84	2701.16	2693.13
2018/4/20	2660.61	2693.94	2692.56	2670.14
2018/4/23	2657.99	2682.86	2675.4	2670.29
2018/4/24	2617.32	2683.55	2680.8	2634.56
2018/4/25	2612.67	2645.3	2634.92	2639.4
2018/4/26	2647.16	2676.48	2651.65	2666.94
2018/4/27	2659.01	2677.35	2675.47	2669.91
2018/4/30	2648.04	2682.92	2675.05	2648.05
2018/5/1	2625.41	2655.27	2643.64	2654.8
2018/5/2	2631.7	2660.87	2654.24	2635.67
2018/5/3	2594.62	2637.14	2628.08	2629.73
2018/5/4	2615.32	2670.93	2621.45	2663.42
2018/5/7	2664.7	2683.35	2669.36	2672.63
2018/5/8	2655.2	2676.34	2670.26	2671.92
2018/5/9	2674.14	2701.27	2678.12	2697.79
2018/5/10	2704.54	2726.11	2705.02	2723.07
2018/5/11	2717.45	2732.86	2722.7	2727.72
2018/5/14	2725.47	2742.1	2733.37	2730.13
2018/5/15	2701.91	2718.59	2718.59	2711.45
2018/5/16	2712.17	2727.76	2712.62	2722.46
2018/5/17	2711.36	2731.96	2719.71	2720.13
2018/5/18	2709.18	2719.5	2717.35	2712.97
2018/5/21	2725.7	2739.19	2725.95	2733.01
2018/5/22	2721.88	2742.24	2738.34	2724.44
2018/5/23	2709.54	2733.33	2713.98	2733.29
2018/5/24	2707.38	2731.97	2730.94	2727.76
2018/5/25	2714.99	2727.36	2723.6	2721.33
2018/5/29	2676.81	2710.67	2705.11	2689.86
2018/5/30	2702.43	2729.34	2702.43	2724.01
2018/5/31	2700.68	2722.5	2720.98	2705.27
2018/6/1	2718.7	2736.93	2718.7	2734.62
2018/6/4	2740.54	2749.16	2741.67	2746.87
2018/6/5	2739.51	2752.61	2748.46	2748.8
2018/6/6	2748.46	2772.39	2753.25	2772.35
2018/6/7	2760.16	2779.9	2774.84	2770.37
2018/6/8	2763.59	2779.39	2765.84	2779.03
2018/6/11	2780.17	2790.21	2780.18	2782
2018/6/12	2778.78	2789.8	2785.6	2786.85
2018/6/13	2774.65	2791.47	2787.94	2775.63
2018/6/14	2776.52	2789.06	2783.21	2782.49
2018/6/15	2761.73	2782.81	2777.78	2779.66
2018/6/18	2757.12	2774.99	2765.79	2773.75
2018/6/19	2743.19	2765.05	2752.01	2762.59
2018/6/20	2763.91	2774.86	2769.73	2767.32
2018/6/21	2744.39	2769.28	2769.28	2749.76
2018/6/22	2752.68	2764.17	2760.79	2754.88
2018/6/25	2698.67	2742.94	2742.94	2717.07
2018/6/26	2715.6	2732.91	2722.12	2723.06
2018/6/27	2699.38	2746.09	2728.45	2699.63
2018/6/28	2691.99	2724.34	2698.69	2716.31
2018/6/29	2718.03	2743.26	2727.13	2718.37
2018/7/2	2698.95	2727.26	2704.95	2726.71
2018/7/3	2711.16	2736.58	2733.27	2713.22
2018/7/5	2716.02	2737.83	2724.19	2736.61
2018/7/6	2733.52	2764.41	2737.68	2759.82
2018/7/9	2768.51	2784.65	2768.51	2784.17
2018/7/10	2786.24	2795.58	2788.56	2793.84
2018/7/11	2770.77	2785.91	2779.82	2774.02
2018/7/12	2781.53	2799.22	2783.14	2798.29
2018/7/13	2791.69	2804.53	2796.93	2801.31
2018/7/16	2793.39	2803.71	2801.43	2798.43
2018/7/17	2789.24	2814.19	2789.34	2809.55
2018/7/18	2805.89	2816.76	2811.35	2815.62
2018/7/19	2799.77	2812.05	2809.37	2804.49
2018/7/20	2800.01	2809.7	2804.55	2801.83
2018/7/23	2795.14	2808.61	2799.17	2806.98
2018/7/24	2811.12	2829.99	2820.68	2820.4
2018/7/25	2817.73	2848.03	2817.73	2846.07
2018/7/26	2835.26	2845.57	2835.49	2837.44
2018/7/27	2808.34	2843.17	2842.35	2818.82
2018/7/30	2798.11	2821.74	2819	2802.6
2018/7/31	2808.06	2824.46	2809.73	2816.29
2018/8/1	2805.85	2825.83	2821.17	2813.36
2018/8/2	2796.34	2829.91	2800.48	2827.22
2018/8/3	2827.37	2840.38	2829.62	2840.35
2018/8/6	2835.98	2853.29	2840.29	2850.4
2018/8/7	2855.92	2863.43	2855.92	2858.45
2018/8/8	2853.09	2862.44	2856.79	2857.7
2018/8/9	2851.98	2862.48	2857.19	2853.58
2018/8/10	2825.81	2842.2	2839.64	2833.28
2018/8/13	2819.88	2843.4	2835.46	2821.93
2018/8/14	2826.58	2843.11	2827.88	2839.96
2018/8/15	2802.49	2827.95	2827.95	2818.37
2018/8/16	2831.44	2850.49	2831.44	2840.69
2018/8/17	2833.73	2855.63	2838.32	2850.13
2018/8/20	2850.62	2859.76	2853.93	2857.05
2018/8/21	2861.32	2873.23	2861.51	2862.96
2018/8/22	2856.05	2867.54	2860.99	2861.82
2018/8/23	2854.03	2868.78	2860.29	2856.98
2018/8/24	2862.35	2876.16	2862.35	2874.69
2018/8/27	2884.69	2898.25	2884.69	2896.74
2018/8/28	2893.5	2903.77	2901.45	2897.52
2018/8/29	2898.4	2916.5	2900.62	2914.04
2018/8/30	2895.22	2912.46	2908.94	2901.13
2018/8/31	2891.73	2906.32	2898.37	2901.52
2018/9/4	2885.13	2900.18	2896.96	2896.72
2018/9/5	2876.92	2894.21	2891.59	2888.6
2018/9/6	2867.29	2892.05	2888.64	2878.05
2018/9/7	2864.12	2883.81	2868.26	2871.68
2018/9/10	2875.94	2886.93	2881.39	2877.13
2018/9/11	2866.78	2892.52	2871.57	2887.89
2018/9/12	2879.2	2894.65	2888.29	2888.92
2018/9/13	2896.39	2906.76	2896.85	2904.18
2018/9/14	2895.77	2908.3	2906.38	2904.98
2018/9/17	2886.16	2904.65	2903.83	2888.8
2018/9/18	2890.43	2911.17	2890.74	2904.31
2018/9/19	2903.82	2912.36	2906.6	2907.95
2018/9/20	2919.73	2934.8	2919.73	2930.75
2018/9/21	2927.11	2940.91	2936.76	2929.67
2018/9/24	2912.63	2923.79	2921.83	2919.37
2018/9/25	2913.7	2923.95	2921.75	2915.56
2018/9/26	2903.28	2931.15	2916.98	2905.97
2018/9/27	2909.27	2927.22	2911.65	2914
2018/9/28	2907.5	2920.53	2910.03	2913.98
2018/10/1	2917.91	2937.06	2926.29	2924.59
2018/10/2	2919.37	2931.42	2923.8	2923.43
2018/10/3	2921.36	2939.86	2931.69	2925.51
2018/10/4	2883.92	2919.78	2919.35	2901.61
2018/10/5	2869.29	2909.64	2902.54	2885.57
2018/10/8	2862.08	2889.45	2877.53	2884.43
2018/10/9	2874.27	2894.83	2882.51	2880.34
2018/10/10	2784.86	2874.02	2873.9	2785.68
2018/10/11	2710.51	2795.14	2776.87	2728.37
2018/10/12	2729.44	2775.77	2770.54	2767.13
2018/10/15	2749.03	2775.99	2763.83	2750.79
2018/10/16	2766.91	2813.46	2767.05	2809.92
2018/10/17	2781.81	2816.94	2811.67	2809.21
2018/10/18	2755.18	2806.04	2802	2768.78
2018/10/19	2760.27	2797.77	2775.66	2767.78
2018/10/22	2749.22	2778.94	2773.94	2755.88
2018/10/23	2691.43	2753.59	2721.03	2740.69
2018/10/24	2651.89	2742.59	2737.87	2656.1
2018/10/25	2667.84	2722.7	2674.88	2705.57
2018/10/26	2628.16	2692.38	2667.86	2658.69
2018/10/29	2603.54	2706.85	2682.65	2641.25
2018/10/30	2635.34	2685.43	2640.68	2682.63
2018/10/31	2705.6	2736.69	2705.6	2711.74
2018/11/1	2708.85	2741.67	2717.58	2740.37
2018/11/2	2700.44	2756.55	2745.45	2723.06
2018/11/5	2717.94	2744.27	2726.37	2738.31
2018/11/6	2737.08	2756.82	2738.4	2755.45
2018/11/7	2774.13	2815.15	2774.13	2813.89
2018/11/8	2794.99	2814.75	2806.38	2806.83
2018/11/9	2764.24	2794.1	2794.1	2781.01
2018/11/12	2722	2775.99	2773.93	2726.22
2018/11/13	2714.98	2754.6	2730.05	2722.18
2018/11/14	2685.75	2746.8	2737.9	2701.58
2018/11/15	2670.75	2735.38	2693.52	2730.2
2018/11/16	2712.16	2746.75	2718.54	2736.27
2018/11/19	2681.09	2733.16	2730.74	2690.73
2018/11/20	2631.52	2669.44	2654.6	2641.89
2018/11/21	2649.82	2670.73	2657.74	2649.93
2018/11/23	2631.09	2647.55	2633.36	2632.56
2018/11/26	2649.97	2674.35	2649.97	2673.45
2018/11/27	2655.89	2682.53	2663.75	2682.17
2018/11/28	2684.38	2744	2691.45	2743.79
2018/11/29	2722.94	2753.75	2736.97	2737.76
2018/11/30	2732.76	2760.88	2737.76	2760.17
2018/12/3	2773.38	2800.18	2790.5	2790.37
2018/12/4	2697.18	2785.93	2782.43	2700.06
2018/12/6	2621.53	2696.15	2663.51	2695.95
2018/12/7	2623.14	2708.54	2691.26	2633.08
2018/12/10	2583.23	2647.51	2630.86	2637.72
2018/12/11	2621.3	2674.35	2664.44	2636.78
2018/12/12	2650.26	2685.44	2658.23	2651.07
2018/12/13	2637.27	2670.19	2658.7	2650.54
2018/12/14	2593.84	2635.07	2629.68	2599.95
2018/12/17	2530.54	2601.13	2590.75	2545.94
2018/12/18	2528.71	2573.99	2559.9	2546.16
2018/12/19	2488.96	2585.29	2547.05	2506.96
2018/12/20	2441.18	2509.63	2496.77	2467.42
2018/12/21	2408.55	2504.41	2465.38	2416.62
2018/12/24	2351.1	2410.34	2400.56	2351.1
2018/12/26	2346.58	2467.76	2363.12	2467.7
2018/12/27	2397.94	2489.1	2442.5	2488.83
2018/12/28	2472.89	2520.27	2498.77	2485.74
2018/12/31	2482.82	2509.24	2498.94	2506.85
2019/1/2	2467.47	2519.49	2476.96	2510.03
2019/1/3	2443.96	2493.14	2491.92	2447.89
2019/1/4	2474.33	2538.07	2474.33	2531.94
2019/1/7	2524.56	2566.16	2535.61	2549.69
2019/1/8	2547.56	2579.82	2568.11	2574.41
2019/1/9	2568.89	2595.32	2580	2584.96
2019/1/10	2562.02	2597.82	2573.51	2596.64
2019/1/11	2577.4	2596.27	2588.11	2596.26
2019/1/14	2570.41	2589.32	2580.31	2582.61
2019/1/15	2585.1	2613.08	2585.1	2610.3
2019/1/16	2612.68	2625.76	2614.75	2616.1
2019/1/17	2606.36	2645.06	2609.28	2635.96
2019/1/18	2647.58	2675.47	2651.27	2670.71
2019/1/22	2617.27	2657.88	2657.88	2632.9
2019/1/23	2612.86	2653.19	2643.48	2638.7
2019/1/24	2627.01	2647.2	2638.84	2642.33
2019/1/25	2657.33	2672.38	2657.44	2664.76
2019/1/28	2624.06	2644.97	2644.97	2643.85
2019/1/29	2631.05	2650.93	2644.89	2640
2019/1/30	2648.34	2690.44	2653.62	2681.05
2019/1/31	2678.65	2708.95	2685.49	2704.1
2019/2/1	2696.88	2716.66	2702.32	2706.53
2019/2/4	2698.75	2724.99	2706.49	2724.87
2019/2/5	2724.03	2738.98	2728.34	2737.7
2019/2/6	2724.15	2738.08	2735.05	2731.61
2019/2/7	2687.26	2719.32	2717.53	2706.05
2019/2/8	2681.83	2708.07	2692.36	2707.88
2019/2/11	2703.79	2718.05	2712.4	2709.8
2019/2/12	2722.61	2748.19	2722.61	2744.73
2019/2/13	2748.63	2761.85	2750.3	2753.03
2019/2/14	2731.23	2757.9	2743.5	2745.73
2019/2/15	2760.24	2775.66	2760.24	2775.6
2019/2/19	2767.29	2787.33	2769.28	2779.76
2019/2/20	2774.06	2789.88	2779.05	2784.7
2019/2/21	2764.55	2781.58	2780.24	2774.88
2019/2/22	2779.11	2794.2	2780.67	2792.67
2019/2/25	2794.99	2813.49	2804.35	2796.11
2019/2/26	2789.47	2803.12	2792.36	2793.9
2019/2/27	2775.13	2795.76	2787.5	2792.38
2019/2/28	2782.51	2793.73	2788.11	2784.49
2019/3/1	2787.38	2808.02	2798.22	2803.69
2019/3/4	2767.66	2816.88	2814.37	2792.81
2019/3/5	2782.97	2796.44	2794.41	2789.65
2019/3/6	2768.69	2790.27	2790.27	2771.45
2019/3/7	2739.09	2767.25	2766.53	2748.93
2019/3/8	2722.27	2744.13	2730.79	2743.07
2019/3/11	2747.61	2784	2747.61	2783.3
2019/3/12	2786.73	2798.32	2787.34	2791.52
2019/3/13	2799.78	2821.24	2799.78	2810.92
2019/3/14	2803.46	2815	2810.38	2808.48
2019/3/15	2810.79	2830.73	2810.79	2822.48
2019/3/18	2821.99	2835.41	2822.61	2832.94
2019/3/19	2823.27	2852.42	2840.76	2832.57
2019/3/20	2812.43	2843.54	2831.34	2824.23
2019/3/21	2817.38	2860.31	2819.72	2854.88
2019/3/22	2800.47	2846.16	2844.52	2800.71
2019/3/25	2785.02	2809.79	2796.01	2798.36
2019/3/26	2803.99	2829.87	2812.66	2818.46
2019/3/27	2787.72	2825.56	2819.72	2805.37
2019/3/28	2798.77	2819.71	2809.4	2815.44
2019/3/29	2819.23	2836.03	2828.27	2834.4
2019/4/1	2848.63	2869.4	2848.63	2867.19
2019/4/2	2858.75	2872.9	2868.24	2867.24
2019/4/3	2865.17	2885.25	2876.09	2873.4
2019/4/4	2867.14	2881.28	2873.99	2879.39
2019/4/5	2882.99	2893.24	2884.16	2892.74
2019/4/8	2880.78	2895.95	2888.46	2895.77
2019/4/9	2873.33	2886.88	2886.58	2878.2
2019/4/10	2879.13	2889.71	2881.37	2888.21
2019/4/11	2881.99	2893.42	2891.92	2888.32
2019/4/12	2898.37	2910.54	2900.86	2907.41
2019/4/15	2896.48	2909.6	2908.32	2905.58
2019/4/16	2900.71	2916.06	2912.26	2907.06
2019/4/17	2895.45	2918	2916.04	2900.45
2019/4/18	2891.9	2908.4	2904.81	2905.03
2019/4/22	2896.35	2909.51	2898.78	2907.97
2019/4/23	2908.53	2936.31	2909.99	2933.68
2019/4/24	2926.05	2936.83	2934	2927.25
2019/4/25	2912.84	2933.1	2928.99	2926.17
2019/4/26	2917.56	2939.88	2925.81	2939.88
2019/4/29	2939.35	2949.52	2940.58	2943.03
2019/4/30	2924.11	2948.22	2937.14	2945.83
2019/5/1	2923.36	2954.13	2952.33	2923.73
2019/5/2	2900.5	2931.68	2922.16	2917.52
2019/5/3	2929.21	2947.85	2929.21	2945.64
2019/5/6	2898.21	2937.32	2908.89	2932.47
2019/5/7	2862.6	2913.03	2913.03	2884.05
2019/5/8	2873.28	2897.96	2879.61	2879.42
2019/5/9	2836.4	2875.97	2859.84	2870.72
2019/5/10	2825.39	2891.31	2863.1	2881.4
2019/5/13	2801.43	2840.19	2840.19	2811.87
2019/5/14	2820.12	2852.54	2820.12	2834.41
2019/5/15	2815.08	2858.68	2820.38	2850.96
2019/5/16	2855.8	2892.15	2855.8	2876.32
2019/5/17	2854.23	2885.48	2858.6	2859.53
2019/5/20	2831.29	2853.86	2841.94	2840.23
2019/5/21	2854.02	2868.88	2854.02	2864.36
2019/5/22	2851.11	2865.47	2856.06	2856.27
2019/5/23	2805.49	2836.7	2836.7	2822.24
2019/5/24	2820.19	2841.36	2832.41	2826.06
2019/5/28	2801.58	2840.51	2830.03	2802.39
2019/5/29	2766.06	2792.03	2790.25	2783.02
2019/5/30	2776.74	2799	2786.94	2788.86
2019/5/31	2750.52	2768.98	2766.15	2752.06
2019/6/3	2728.81	2763.07	2751.53	2744.45
2019/6/4	2762.64	2804.49	2762.64	2803.27
2019/6/5	2800.92	2827.28	2818.09	2826.15
2019/6/6	2822.45	2852.1	2828.51	2843.49
2019/6/7	2852.87	2884.97	2852.87	2873.34
2019/6/10	2885.51	2904.77	2885.83	2886.73
2019/6/11	2878.53	2910.61	2903.27	2885.72
2019/6/12	2874.68	2888.57	2882.73	2879.84
2019/6/13	2881.99	2895.24	2886.24	2891.64
2019/6/14	2879.62	2894.45	2886.82	2886.98
2019/6/17	2887.3	2897.27	2889.75	2889.67
2019/6/18	2905.44	2930.79	2906.71	2917.75
2019/6/19	2911.43	2931.74	2920.55	2926.46
2019/6/20	2931.5	2958.06	2949.6	2954.18
2019/6/21	2946.87	2964.15	2952.71	2950.46
2019/6/24	2944.05	2954.92	2951.42	2945.35
2019/6/25	2916.01	2946.52	2945.78	2917.38
2019/6/26	2912.99	2932.59	2926.07	2913.78
2019/6/27	2918.57	2929.3	2919.66	2924.92
2019/6/28	2929.05	2943.98	2932.94	2941.76
2019/7/1	2952.22	2977.93	2971.41	2964.33
2019/7/2	2955.92	2973.21	2964.66	2973.01
2019/7/3	2977.96	2995.84	2978.08	2995.82
2019/7/5	2967.97	2994.03	2984.25	2990.41
2019/7/8	2970.09	2980.76	2979.77	2975.95
2019/7/9	2963.44	2981.9	2965.52	2979.63
2019/7/10	2984.62	3002.98	2989.3	2993.07
2019/7/11	2988.8	3002.33	2999.62	2999.91
2019/7/12	3001.87	3013.92	3003.36	3013.77
2019/7/15	3008.77	3017.8	3017.8	3014.3
2019/7/16	3001.15	3015.02	3012.13	3004.04
2019/7/17	2984.25	3005.26	3005.1	2984.42
2019/7/18	2973.09	2998.28	2978.87	2995.11
2019/7/19	2975.86	3006.02	3004.26	2976.61
2019/7/22	2976.65	2990.71	2981.93	2985.03
2019/7/23	2988.56	3005.9	2994.74	3005.47
2019/7/24	2996.82	3019.59	2998.77	3019.56
2019/7/25	2997.24	3016.31	3016.26	3003.67
2019/7/26	3012.59	3027.98	3013.25	3025.86
2019/7/29	3014.3	3025.61	3024.47	3020.97
2019/7/30	3000.94	3017.19	3007.66	3013.18
2019/7/31	2958.08	3017.4	3016.22	2980.38
2019/8/1	2945.23	3013.59	2980.32	2953.56
2019/8/2	2914.11	2945.5	2943.9	2932.05
2019/8/5	2822.12	2898.07	2898.07	2844.74
2019/8/6	2847.42	2884.4	2861.18	2881.77
2019/8/7	2825.71	2892.17	2858.65	2883.98
2019/8/8	2894.47	2938.72	2896.21	2938.09
2019/8/9	2900.15	2935.75	2930.51	2918.65
2019/8/12	2873.14	2907.58	2907.07	2883.75
2019/8/13	2877.05	2943.31	2880.72	2926.32
2019/8/14	2839.64	2894.15	2894.15	2840.6
2019/8/15	2825.51	2856.67	2846.2	2847.6
2019/8/16	2864.74	2893.63	2864.74	2888.68
2019/8/19	2913.48	2931	2913.48	2923.65
2019/8/20	2899.6	2923.63	2919.01	2900.51
2019/8/21	2917.91	2928.73	2922.04	2924.43
2019/8/22	2904.51	2939.08	2930.94	2922.95
2019/8/23	2834.97	2927.01	2911.07	2847.11
2019/8/26	2856	2879.27	2866.7	2878.38
2019/8/27	2860.59	2898.79	2893.14	2869.16
2019/8/28	2853.05	2890.03	2861.28	2887.94
2019/8/29	2905.67	2930.5	2910.37	2924.58
2019/8/30	2913.32	2940.43	2937.09	2926.46
2019/9/3	2891.85	2914.39	2909.01	2906.27
2019/9/4	2921.86	2938.84	2924.67	2937.78
2019/9/5	2960.6	2985.86	2960.6	2976
2019/9/6	2972.51	2985.03	2980.33	2978.71
2019/9/9	2969.39	2989.43	2988.43	2978.43
2019/9/10	2957.01	2979.39	2971.01	2979.39
2019/9/11	2975.31	3000.93	2981.41	3000.93
2019/9/12	3000.92	3020.74	3009.08	3009.57
2019/9/13	3002.9	3017.33	3012.21	3007.39
2019/9/16	2990.67	3002.19	2996.41	2997.96
2019/9/17	2993.73	3006.21	2995.67	3005.7
2019/9/18	2978.57	3007.83	3001.5	3006.73
2019/9/19	3003.16	3021.99	3010.36	3006.79
2019/9/20	2984.68	3016.37	3008.42	2992.07
2019/9/23	2982.23	2999.15	2983.5	2991.78
2019/9/24	2957.73	3007.98	3002.43	2966.6
2019/9/25	2952.86	2989.82	2968.35	2984.87
2019/9/26	2963.71	2987.28	2985.73	2977.62
2019/9/27	2945.53	2987.31	2985.47	2961.79
2019/9/30	2967.07	2983.85	2967.07	2976.74
2019/10/1	2938.7	2992.53	2983.69	2940.25
2019/10/2	2874.93	2924.78	2924.78	2887.61
2019/10/3	2855.94	2911.13	2885.38	2910.63
2019/10/4	2918.56	2953.74	2918.56	2952.01
2019/10/7	2935.68	2959.75	2944.23	2938.79
2019/10/8	2892.66	2925.47	2920.4	2893.06
2019/10/9	2907.41	2929.32	2911.1	2919.4
2019/10/10	2917.12	2948.46	2918.55	2938.13
2019/10/11	2963.07	2993.28	2963.07	2970.27
2019/10/14	2962.94	2972.84	2965.81	2966.15
2019/10/15	2973.61	3003.28	2973.61	2995.68
2019/10/16	2985.2	2997.54	2989.68	2989.69
2019/10/17	2991.79	3008.29	3000.77	2997.95
2019/10/18	2976.31	3000	2996.84	2986.2
2019/10/21	2995.35	3007.33	2996.48	3006.72
2019/10/22	2995.04	3014.57	3010.73	2995.99
2019/10/23	2991.21	3004.78	2994.01	3004.52
2019/10/24	3000.42	3016.07	3014.78	3010.29
2019/10/25	3001.94	3027.39	3003.32	3022.55
2019/10/28	3032.12	3044.08	3032.12	3039.42
2019/10/29	3034.81	3047.87	3035.39	3036.89
2019/10/30	3025.96	3050.1	3039.74	3046.77
2019/10/31	3023.19	3046.9	3046.9	3037.56
2019/11/1	3050.72	3066.95	3050.72	3066.91
2019/11/4	3074.87	3085.2	3078.96	3078.27
2019/11/5	3072.15	3083.95	3080.8	3074.62
2019/11/6	3065.89	3078.34	3075.1	3076.78
2019/11/7	3080.23	3097.77	3087.02	3085.18
2019/11/8	3073.58	3093.09	3081.25	3093.08
2019/11/11	3075.82	3088.33	3080.33	3087.01
2019/11/12	3084.73	3102.61	3089.28	3091.84
